genome_name,source,species,resistance_profile,sra_accession,ST,location
SH061,Patient,B. pseudomallei,"Susceptible to AMC, CAZ, IPM, SXT",SRR27388017,Novel ST,Thailand:Khon Kaen
SH062,Patient,B. pseudomallei,"Susceptible to AMC, CAZ, IPM, SXT",SRR27388016,70,Thailand:Khon Kaen
SH063,Patient,B. pseudomallei,"Susceptible to AMC, CAZ, IPM, SXT",SRR27388015,70,Thailand:Khon Kaen
SH064,Patient,B. pseudomallei,"Susceptible to AMC, CAZ, IPM, SXT",SRR27388014,306,Thailand:Khon Kaen
SH065,Patient,B. pseudomallei,"Susceptible to AMC, CAZ, IPM, SXT",SRR27388013,306,Thailand:Khon Kaen
SH066,Patient,B. pseudomallei,"Susceptible to AMC, CAZ, IPM, SXT",SRR27388012,492,Thailand:Khon Kaen
SH067,Patient,B. pseudomallei,"Susceptible to AMC, CAZ, IPM, SXT",SRR27388011,492,Thailand:Khon Kaen
SH068,Patient,B. pseudomallei,"Susceptible to AMC, CAZ, IPM, SXT",SRR27388010,492,Thailand:Khon Kaen
SH069,Patient,B. pseudomallei,"Susceptible to AMC, CAZ, IPM, SXT",SRR27388008,10,Thailand:Khon Kaen
SH070,Patient,B. pseudomallei,"Susceptible to AMC, CAZ, IPM, SXT",SRR27388007,10,Thailand:Khon Kaen
SH071,Patient,B. pseudomallei,"Susceptible to AMC, CAZ, IPM, SXT",SRR27388006,58,Thailand:Khon Kaen
SH072,Patient,B. pseudomallei,"Susceptible to AMC, CAZ, IPM, SXT",SRR27388005,306,Thailand:Khon Kaen
SH073,Patient,B. pseudomallei,"Susceptible to AMC, CAZ, IPM, SXT",SRR27388004,306,Thailand:Khon Kaen
SH074,Patient,B. pseudomallei,"Susceptible to AMC, CAZ, IPM, SXT",SRR27388003,306,Thailand:Khon Kaen
SH075,Patient,B. pseudomallei,"Susceptible to AMC, CAZ, IPM, SXT",SRR27388002,306,Thailand:Khon Kaen
SH076,Patient,B. pseudomallei,"Susceptible to AMC, CAZ, IPM, SXT",SRR27388001,33,Thailand:Khon Kaen
SH077,Patient,B. pseudomallei,"Susceptible to AMC, CAZ, IPM, SXT",SRR27388000,33,Thailand:Khon Kaen
SH078,Patient,B. pseudomallei,"Susceptible to AMC, CAZ, IPM, SXT",SRR27387999,298,Thailand:Khon Kaen
SH079,Patient,B. pseudomallei,"Susceptible to AMC, CAZ, IPM, SXT",SRR27387997,298,Thailand:Khon Kaen
SH080,Patient,B. pseudomallei,"Susceptible to AMC, CAZ, IPM, SXT",SRR27387996,298,Thailand:Khon Kaen
SH081,Patient,B. pseudomallei,"Susceptible to AMC, CAZ, IPM, SXT",SRR27387995,54,Thailand:Khon Kaen
SH083,Patient,B. pseudomallei,"Susceptible to AMC, CAZ, IPM, SXT",SRR27387846,54,Thailand:Khon Kaen
SH084,Patient,B. pseudomallei,"Susceptible to AMC, CAZ, IPM, SXT",SRR27387845,492,Thailand:Khon Kaen
SH085,Patient,B. pseudomallei,"Resistant to SXT; Susceptible to AMC, CAZ, IPM",SRR27387844,365,Thailand:Khon Kaen
SH086,Patient,B. pseudomallei,"Susceptible to AMC, CAZ, IPM, SXT",SRR27387843,70,Thailand:Khon Kaen
SH087,Patient,B. pseudomallei,"Susceptible to AMC, CAZ, IPM, SXT",SRR27387842,206,Thailand:Khon Kaen
SH088,Patient,B. pseudomallei,"Susceptible to AMC, CAZ, IPM, SXT",SRR27387841,206,Thailand:Khon Kaen
SH089,Patient,B. pseudomallei,"Susceptible to AMC, CAZ, IPM, SXT",SRR27387839,512,Thailand:Khon Kaen
SH090,Patient,B. pseudomallei,"Susceptible to AMC, CAZ, IPM, SXT",SRR27387838,512,Thailand:Khon Kaen
SH091,Patient,B. pseudomallei,"Susceptible to AMC, CAZ, IPM, SXT",SRR27387837,498,Thailand:Khon Kaen
SH092,Patient,B. pseudomallei,"Susceptible to AMC, CAZ, IPM, SXT",SRR27387836,498,Thailand:Khon Kaen
SH093,Patient,B. pseudomallei,"Susceptible to AMC, CAZ, IPM, SXT",SRR27387835,219,Thailand:Khon Kaen
SH094,Patient,B. pseudomallei,"Susceptible to AMC, CAZ, IPM, SXT",SRR27387834,219,Thailand:Khon Kaen
SH095,Patient,B. pseudomallei,"Susceptible to AMC, CAZ, IPM, SXT",SRR27387833,219,Thailand:Khon Kaen
SH096,Patient,B. pseudomallei,"Susceptible to AMC, CAZ, IPM, SXT",SRR27387832,52,Thailand:Khon Kaen
SH097,Patient,B. pseudomallei,"Susceptible to AMC, CAZ, IPM, SXT",SRR27387831,23,Thailand:Khon Kaen
SH098,Patient,B. pseudomallei,"Susceptible to AMC, CAZ, IPM, SXT",SRR27387830,46,Thailand:Khon Kaen
SH099,Patient,B. pseudomallei,"Susceptible to AMC, CAZ, IPM, SXT",SRR27387828,46,Thailand:Khon Kaen
SH100,Patient,B. pseudomallei,"Susceptible to AMC, CAZ, IPM, SXT",SRR27387827,Novel ST,Thailand:Khon Kaen
SH101,Patient,B. pseudomallei,"Susceptible to AMC, CAZ, IPM, SXT",SRR27387826,46,Thailand:Khon Kaen
SH102,Patient,B. pseudomallei,"Susceptible to AMC, CAZ, IPM, SXT",SRR27387825,46,Thailand:Khon Kaen
SH103,Patient,B. pseudomallei,"Susceptible to AMC, CAZ, IPM, SXT",SRR27387824,54,Thailand:Khon Kaen
SH104,Patient,B. pseudomallei,"Susceptible to AMC, CAZ, IPM, SXT",SRR27387823,Novel ST,Thailand:Khon Kaen
SH105,Patient,B. pseudomallei,"Susceptible to AMC, CAZ, IPM, SXT",SRR27387822,70,Thailand:Khon Kaen
SH106,Patient,B. pseudomallei,"Susceptible to AMC, CAZ, IPM, SXT",SRR27387821,10,Thailand:Khon Kaen
SH107,Patient,B. pseudomallei,"Susceptible to AMC, CAZ, IPM, SXT",SRR27387820,512,Thailand:Khon Kaen
SH108,Patient,B. pseudomallei,"Susceptible to AMC, CAZ, IPM, SXT",SRR27387819,365,Thailand:Khon Kaen
SH109,Patient,B. pseudomallei,"Susceptible to AMC, CAZ, IPM, SXT",SRR27387817,Novel ST,Thailand:Khon Kaen
SH110,Patient,B. pseudomallei,"Susceptible to AMC, CAZ, IPM, SXT",SRR27387816,1397,Thailand:Khon Kaen
SH111,Patient,B. pseudomallei,"Susceptible to AMC, CAZ, IPM, SXT",SRR27387815,54,Thailand:Khon Kaen
SRR2102060,Patient,B. pseudomallei,"Resistant to CAZ, AMC; Not determined: SXT, MEM",SRR2102060,,
SRR2886988,Patient,B. pseudomallei,"Resistant to MEM; Intermediate to SXT, AMC; Not determined: CAZ, ",SRR2886988,a,Australia
SRR2887030,Patient,B. pseudomallei,"Resistant to SXT, MEM; Not determined: CAZ, AMC",SRR2887030,a,Australia
SRR2887062,Patient,B. pseudomallei,"Resistant to SXT; Not determined: CAZ, AMC, MEM",SRR2887062,,
SRR2975745,Patient,B. pseudomallei,"Resistant to CAZ; Not determined: SXT, AMC, MEM",SRR2975745,,
SRR32783428,Patient,B. pseudomallei,"Resistant to SXT, MEM; Susceptible to AMC, CAZ",SRR32783428,,
SRR32783429,Patient,B. pseudomallei,"Resistant to SXT, MEM; Susceptible to AMC, CAZ",SRR32783429,,
SRR32783430,Patient,B. pseudomallei,"Susceptible to AMC, CAZ, SXT, MEM",SRR32783430,,
SRR32783431,Patient,B. pseudomallei,"Resistant to SXT; Susceptible to AMC, CAZ, MEM",SRR32783431,,
SRR32783432,Patient,B. pseudomallei,"Resistant to SXT, MEM; Susceptible to AMC, CAZ",SRR32783432,,
SRR32783433,Patient,B. pseudomallei,"Susceptible to AMC, CAZ, SXT, MEM ",SRR32783433,,
SRR32783434,Patient,B. pseudomallei,"Susceptible to AMC, CAZ, SXT, MEM",SRR32783434,,
SRR3382162,Patient,B. pseudomallei,"Resistant to SXT, CAZ; Not determined: AMC, MEM",SRR3382162,,
SRR3404570,Patient,B. pseudomallei,"Resistant to CAZ, SXT; Not determined: AMC, MEM",SRR3404570,a,Australia
SRR3404582,Patient,B. pseudomallei,"Resistant to SXT; Not determined: CAZ, AMC, MEM",SRR3404582,,
SRR3404597,Patient,B. pseudomallei,"Resistant to SXT; Not determined: CAZ, AMC, MEM",SRR3404597,,
SRR3404598,Patient,B. pseudomallei,"Resistant to SXT, MEM; Not determined: CAZ, AMC",SRR3404598,,
SRR3404599,Patient,B. pseudomallei,"Resistant to SXT; Not determined: CAZ, AMC, MEM",SRR3404599,,
SRR3404603,Patient,B. pseudomallei,"Resistant to SXT, MEM; Not determined: CAZ, AMC",SRR3404603,,
SRR5818275,Patient,B. pseudomallei,"Resistant to MEM; Not determined: CAZ, SXT, AMC",SRR5818275,a,Australia
SRR6075114,Patient,B. pseudomallei,"Resistant to CAZ, MEM, SXT; Not determined: AMC",SRR6075114,,
SRR6075115,Patient,B. pseudomallei,"Resistant to MEM; Not determined: CAZ, SXT, AMC",SRR6075115,,
SRR6075118,Patient,B. pseudomallei,"Resistant to MEM; Not determined: CAZ, SXT, AMC",SRR6075118,,
SRR6075122,Patient,B. pseudomallei,"Resistant to MEM; Not determined: CAZ, SXT, AMC",SRR6075122,a,Australia
SRR6075123,Patient,B. pseudomallei,"Resistant to MEM; Not determined: CAZ, SXT, AMC",SRR6075123,,
SRR6075126,Patient,B. pseudomallei,"Resistant to SXT, MEM; Not determined: CAZ, AMC",SRR6075126,a,Australia
SRR6075127,Patient,B. pseudomallei,"Resistant to MEM; Not determined: CAZ, SXT, AMC",SRR6075127,,
SRR6075129,Patient,B. pseudomallei,"Resistant to MEM; Not determined: CAZ, SXT, AMC",SRR6075129,,
SRR9598635,Patient,B. pseudomallei,"Resistant to CAZ; Not determined: SXT, AMC, MEM",SRR9598635,,
